_date,total_views,unique_views
2022-03-16,3,2
2022-07-04,1,1
2022-12-27,2,1
2023-01-02,2,1
2023-05-17,1,1
2023-11-27,5,1
2024-03-18,1,1
2025-07-16,33,5
2025-07-19,1,1
2025-07-20,1,1
2025-07-27,1,1
2025-09-07,1,1
2025-09-21,1,1
2025-10-07,10,10
2025-10-30,1,1
2025-12-14,0,0
2025-12-15,0,0
2025-12-16,0,0
2025-12-17,0,0
2025-12-18,0,0
2025-12-19,0,0
2025-12-20,0,0
2025-12-21,0,0
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-29,0,0
2025-12-30,0,0
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,0,0
2026-01-04,0,0
2026-01-05,0,0
2026-01-06,0,0
2026-01-07,0,0
2026-01-08,1,1
2026-01-09,0,0
2026-01-10,0,0
2026-01-11,0,0
2026-01-12,0,0
2026-01-13,0,0
2026-01-14,0,0
2026-01-15,0,0
2026-01-16,0,0
2026-01-17,0,0
